EmployeeID;Branch       ;Tenure;Salary;Department              ;JobSatisfaction;WorkLifeBalance;CommuteDistance;MaritalStatus;Education  ;PerformanceRating;TrainingHours;OverTime;NumProjects;YearsSincePromotion;EnvironmentSatisfaction;ChurnLikelihood           
        41;Chicago      ;    12; 73000;Customer Service        ;              4;            3.5;Long           ;Single       ;Bachelor   ;                3;           30;True    ;           ;                  0;                      2;Highly Likely to Churn    
        42;Denver       ;    12; 71000;Operations              ;              3;              3;Long           ;Single       ;Bachelor   ;                3;             ;True    ;          4;                  3;                      2;Highly Likely to Churn    
        43;Atlanta      ;     4; 58000;Research and Development;              3;            3.5;Medium         ;Married      ;Bachelor   ;      3.666666667;             ;True    ;          4;                  0;                      3;Highly Likely to Churn    
        44;Denver       ;     3; 72500;Marketing               ;              2;            3.5;Short          ;Married      ;Master     ;                3;           30;True    ;          3;                  0;                      2;Highly Likely to Churn    
        45;Seattle      ;    11; 69000;Product Management      ;              5;              4;Medium         ;Single       ;Bachelor   ;      3.666666667;             ;True    ;          3;                  3;                      2;Highly Likely to Churn    
        46;Scranton     ;     3; 49500;Customer Service        ;              4;              4;Long           ;Married      ;High School;      3.666666667;           80;True    ;          3;                  0;                      2;Highly Likely to Churn    
        47;San Francisco;    10; 70500;Public Relations        ;              3;              4;Medium         ;Divorced     ;High School;      3.333333333;           80;True    ;          4;                  3;                      3;Moderately Likely to Churn
        48;Boston       ;    14; 61500;Procurement             ;              3;            4.5;Long           ;Married      ;Bachelor   ;      3.666666667;           12;        ;          3;                  3;                      2;Highly Likely to Churn    
        49;Chicago      ;     8; 66500;Marketing               ;              2;            3.5;Short          ;Divorced     ;Bachelor   ;      3.333333333;           36;True    ;          4;                  0;                       ;Moderately Likely to Churn
        50;Scranton     ;     5; 62000;Research and Development;              4;              3;Short          ;Divorced     ;Bachelor   ;      3.666666667;           24;True    ;          4;                  0;                      3;Moderately Likely to Churn
        51;New York     ;     4; 64500;Operations              ;              2;              3;Medium         ;Single       ;High School;      3.333333333;           24;True    ;          4;                  0;                      3;Moderately Likely to Churn
        52;Boston       ;     7; 76500;Research and Development;              4;            3.5;Medium         ;Single       ;Master     ;      3.333333333;           36;True    ;          3;                  1;                      2;Highly Likely to Churn    
        53;Chicago      ;    18; 81000;Accounting              ;              5;            3.5;Short          ;Divorced     ;Bachelor   ;      3.666666667;           36;True    ;          4;                  3;                      3;Moderately Likely to Churn
        54;Seattle      ;     7; 60000;Research and Development;              5;              3;Short          ;Married      ;High School;      3.333333333;           40;True    ;           ;                  0;                      2;Highly Likely to Churn    
        55;San Francisco;     6; 68500;Human Resources         ;              4;    3.186398131;Short          ;Divorced     ;Master     ;      4.175277941;   30.6695042;True    ;3.763649086;                  0;            2.408411661;Moderately Likely to Churn
        56;New York     ;     2; 52000;Quality Assurance       ;              1;            3.5;Long           ;Single       ;High School;      3.333333333;           40;True    ;          3;                  0;                      2;Highly Likely to Churn    
        57;Scranton     ;     4; 62000;Accounting              ;              3;              3;Medium         ;Single       ;Bachelor   ;      3.333333333;             ;True    ;          3;                  0;                      2;Highly Likely to Churn    
        58;Philadelphia ;     5; 72500;Human Resources         ;              5;              4;Long           ;Married      ;Bachelor   ;      3.666666667;           24;True    ;          5;                  0;                      3;Moderately Likely to Churn
        59;Miami        ;     5; 63500;Customer Service        ;              4;              3;Medium         ;Single       ;Bachelor   ;      2.666666667;           12;True    ;           ;                  0;                      1;Highly Likely to Churn    
        60;Los Angeles  ;    12; 79000;Marketing               ;              4;            3.5;Short          ;Married      ;Bachelor   ;      3.666666667;           18;True    ;          4;                  2;                      3;Moderately Likely to Churn
        61;Atlanta      ;     8; 59000;Customer Service        ;              3;            3.5;Medium         ;Single       ;Master     ;      3.333333333;           24;True    ;          3;                   ;                      1;Highly Likely to Churn    
        62;New York     ;    10; 66500;Research and Development;              5;            3.5;Medium         ;Single       ;Bachelor   ;                3;             ;True    ;          4;                  0;                      2;Highly Likely to Churn    
        63;             ;     7; 60500;Public Relations        ;              5;            4.5;Medium         ;Married      ;Bachelor   ;      4.333333333;           24;True    ;          5;                  1;                      3;Moderately Likely to Churn
        64;Atlanta      ;     6; 62500;Operations              ;              4;              4;Short          ;Married      ;Bachelor   ;                3;           30;True    ;          3;                  0;                      2;Highly Likely to Churn    
        65;Dallas       ;     5; 60000;Facilities Management   ;              3;              4;Medium         ;Divorced     ;Bachelor   ;      3.666666667;           30;True    ;           ;                  0;                      3;Moderately Likely to Churn
        66;Boston       ;     7; 68000;IT Support              ;              2;            3.5;Medium         ;Divorced     ;Bachelor   ;      3.333333333;           24;True    ;          3;                  0;                      2;Highly Likely to Churn    
        67;Philadelphia ;    10; 68000;Facilities Management   ;              3;            3.5;Medium         ;Divorced     ;Master     ;                3;           18;True    ;          3;                  3;                      2;Highly Likely to Churn    
        68;Philadelphia ;    11; 78500;Customer Service        ;              2;    4.530391323;Short          ;Single       ;Bachelor   ;      2.785148998;  18.46314106;True    ;4.825463139;                  0;            3.259542001;Moderately Likely to Churn
        69;Atlanta      ;     9; 68500;Public Relations        ;              2;            3.5;Short          ;Single       ;Bachelor   ;      2.666666667;             ;True    ;          3;                  1;                      3;Highly Likely to Churn    
        70;Los Angeles  ;     7; 71500;IT Support              ;              1;            3.5;Medium         ;Single       ;Master     ;      3.333333333;           12;True    ;          5;                  0;                      3;Moderately Likely to Churn
        71;Chicago      ;     7; 53500;Accounting              ;              3;            3.5;Medium         ;Divorced     ;High School;      3.666666667;           48;True    ;          4;                  1;                      4;Moderately Likely to Churn
        72;Seattle      ;     9; 63000;Administration          ;              4;              4;Short          ;Married      ;Bachelor   ;      4.333333333;           36;True    ;          4;                  0;                      4;Slightly Likely to Churn  
        73;San Francisco;    11; 70000;Human Resources         ;              3;            3.5;Long           ;Single       ;High School;      3.333333333;             ;True    ;           ;                  2;                      3;Moderately Likely to Churn
        74;New York     ;     4; 72000;Human Resources         ;              4;            3.5;Long           ;Single       ;Bachelor   ;      2.666666667;           24;True    ;          2;                  0;                      1;Highly Likely to Churn    
        75;Philadelphia ;     7; 73500;Research and Development;              3;               ;Long           ;Married      ;Master     ;      3.666666667;             ;True    ;          3;                  1;                      3;Moderately Likely to Churn
        76;Philadelphia ;     4; 48000;Customer Service        ;              5;            3.5;Medium         ;Divorced     ;Bachelor   ;                4;             ;True    ;          4;                  0;                      3;Moderately Likely to Churn
        77;Scranton     ;     7; 59000;Research and Development;              2;              3;Long           ;Married      ;Bachelor   ;      3.333333333;             ;True    ;          4;                  1;                      3;Moderately Likely to Churn
        78;New York     ;     5; 62500;Research and Development;              3;            3.5;Medium         ;Married      ;Bachelor   ;      3.333333333;           12;True    ;          4;                  0;                      2;Highly Likely to Churn    
        79;Los Angeles  ;     7; 83000;Marketing               ;              3;            3.5;Medium         ;Married      ;Master     ;                3;           36;True    ;          4;                  1;                      1;Highly Likely to Churn    
        80;San Francisco;     2; 70500;Sales                   ;              3;            3.5;Short          ;Married      ;Bachelor   ;                4;           30;True    ;          4;                  0;                      3;Moderately Likely to Churn
        81;Boston       ;    11; 80500;Research and Development;              3;              4;Long           ;Married      ;High School;                3;           80;True    ;          4;                  4;                      2;Highly Likely to Churn    
        82;Boston       ;     6; 59500;Accounting              ;              5;            4.5;Short          ;Married      ;Bachelor   ;      4.333333333;           12;        ;          2;                  0;                      3;Moderately Likely to Churn
        83;Los Angeles  ;    12; 74000;Facilities Management   ;              4;            3.5;Medium         ;Divorced     ;Bachelor   ;      3.333333333;           12;True    ;           ;                  1;                      2;Highly Likely to Churn    
        84;Philadelphia ;     6; 71500;Product Management      ;              4;              4;Long           ;Divorced     ;Bachelor   ;      3.666666667;           30;True    ;          3;                  0;                      3;Moderately Likely to Churn
        85;Dallas       ;     6; 61500;Customer Service        ;              4;            4.5;Long           ;Married      ;Bachelor   ;                4;           18;True    ;          4;                  0;                      4;Slightly Likely to Churn  
        86;Boston       ;     9; 72500;Accounting              ;              5;    4.572294199;Medium         ;Married      ;Bachelor   ;      4.440581932;  29.39521992;True    ;2.989651259;                  1;            1.693378381;Highly Likely to Churn    
        87;Denver       ;     9; 63500;Sales                   ;              3;              4;Long           ;Single       ;Bachelor   ;      3.666666667;           24;True    ;          3;                  3;                      2;Highly Likely to Churn    
        88;Dallas       ;     2; 62500;Legal                   ;              3;            4.5;Medium         ;Single       ;Bachelor   ;                3;           12;True    ;          2;                  0;                      1;Highly Likely to Churn    
        89;Dallas       ;     9; 63500;Quality Assurance       ;              5;              4;Medium         ;Single       ;Bachelor   ;                4;             ;True    ;          4;                  3;                      2;Highly Likely to Churn    
        90;Denver       ;    12; 73000;IT Support              ;              3;              4;Medium         ;Divorced     ;Bachelor   ;      3.333333333;           24;True    ;           ;                  1;                      3;Highly Likely to Churn    
        91;Boston       ;    10; 68000;Research and Development;              5;              4;Long           ;Married      ;Bachelor   ;      3.666666667;           12;True    ;          4;                  3;                      3;Moderately Likely to Churn
        92;Denver       ;     3; 65000;Customer Service        ;              3;            4.5;Medium         ;Married      ;Bachelor   ;      3.666666667;             ;True    ;          4;                  0;                      3;Highly Likely to Churn    
        93;Scranton     ;     7; 67000;Sales                   ;              4;            3.5;Medium         ;Divorced     ;Master     ;      3.333333333;           24;True    ;          3;                  0;                      2;Highly Likely to Churn    
        94;Los Angeles  ;    10; 73500;Customer Service        ;              3;            4.5;Long           ;Divorced     ;Bachelor   ;                3;           24;True    ;          2;                  4;                      1;Highly Likely to Churn    
        95;San Francisco;    11; 76500;Sales                   ;              2;              3;Short          ;Married      ;High School;      3.333333333;           64;True    ;          4;                  3;                       ;Moderately Likely to Churn
        96;New York     ;    18; 83500;Sales                   ;              4;              3;Short          ;Married      ;High School;      3.666666667;           40;True    ;          3;                 11;                      2;Highly Likely to Churn    
        97;Denver       ;     6; 52500;Customer Service        ;              5;            4.5;Medium         ;Divorced     ;High School;      3.666666667;           56;True    ;          4;                  0;                      3;Highly Likely to Churn    
        98;Los Angeles  ;     8; 68500;Customer Service        ;              2;              4;Short          ;Divorced     ;High School;      3.666666667;           80;True    ;          2;                  1;                      2;Highly Likely to Churn    
        99;Philadelphia ;    13; 61500;Customer Service        ;              5;              4;Short          ;Single       ;High School;      3.666666667;           32;True    ;          4;                  0;                      2;Highly Likely to Churn    
       100;Atlanta      ;     8; 62500;Research and Development;              3;            3.5;Long           ;Single       ;Bachelor   ;                3;           18;True    ;          3;                  0;                      3;Highly Likely to Churn    
       101;Chicago      ;    16; 80500;Sales                   ;              2;              3;Medium         ;Married      ;Bachelor   ;                3;           30;True    ;          3;                  3;                      2;Highly Likely to Churn    
       102;Scranton     ;     5; 66000;Research and Development;              5;            4.5;Long           ;Divorced     ;Bachelor   ;      3.666666667;           18;True    ;          2;                  0;                      2;Highly Likely to Churn    
       103;Scranton     ;     9; 55000;Research and Development;              3;              4;Medium         ;Divorced     ;High School;      3.666666667;           40;True    ;          4;                  0;                      3;Moderately Likely to Churn
       104;New York     ;     7; 73000;Product Management      ;              2;              3;Short          ;Married      ;Bachelor   ;                3;             ;True    ;          4;                  0;                      2;Highly Likely to Churn    
       105;Denver       ;     5; 57000;Customer Service        ;              3;            2.5;Short          ;Single       ;Bachelor   ;                2;           12;True    ;          2;                  0;                      1;Highly Likely to Churn    
       106;Atlanta      ;    12; 74000;Accounting              ;              2;              4;Medium         ;Married      ;Bachelor   ;      3.333333333;           18;True    ;          3;                  5;                      2;Highly Likely to Churn    
       107;Philadelphia ;     3; 65000;Product Management      ;              4;              4;Long           ;Married      ;Bachelor   ;      3.666666667;           30;True    ;          3;                  0;                      2;Highly Likely to Churn    
       108;Los Angeles  ;    14; 74000;Accounting              ;              1;            3.5;Medium         ;Married      ;Bachelor   ;      3.333333333;             ;True    ;          4;                  1;                      2;Highly Likely to Churn    
       109;Los Angeles  ;     5; 64500;Operations              ;              5;            3.5;Short          ;Married      ;Bachelor   ;                3;             ;True    ;          3;                  0;                      2;Highly Likely to Churn    
       110;New York     ;     5; 78500;Marketing               ;              2;    3.927468051;Short          ;Married      ;Bachelor   ;       2.76727889;  11.11553394;True    ;2.885854813;                  0;            1.459358951;Highly Likely to Churn    
       111;Denver       ;     6; 65500;Legal                   ;              3;              4;Short          ;Single       ;Bachelor   ;      3.333333333;            6;True    ;          3;                  0;                      1;Highly Likely to Churn    
       112;Boston       ;     8; 69500;Sales                   ;              3;            4.5;Short          ;Married      ;Bachelor   ;                4;           30;True    ;          3;                  0;                      2;Highly Likely to Churn    
       113;New York     ;     8; 75000;Research and Development;              5;              4;Medium         ;Married      ;Bachelor   ;      4.333333333;            6;True    ;           ;                  2;                      4;Slightly Likely to Churn  
       114;Philadelphia ;    11; 72500;Accounting              ;              4;              4;Medium         ;Single       ;Bachelor   ;      3.333333333;           24;True    ;          3;                  4;                      2;Highly Likely to Churn    
       115;San Francisco;    14; 70000;Research and Development;              3;            2.5;Short          ;Divorced     ;Bachelor   ;      3.333333333;           30;True    ;          4;                  2;                      3;Moderately Likely to Churn
       116;Scranton     ;    10; 67500;Sales                   ;              5;            3.5;Long           ;Single       ;High School;                3;           96;True    ;          4;                  4;                      3;Moderately Likely to Churn
       117;San Francisco;     9; 66000;Customer Service        ;              3;              4;Long           ;Divorced     ;High School;      3.666666667;           56;True    ;          4;                  1;                      3;Moderately Likely to Churn
       118;Los Angeles  ;     3; 60500;Human Resources         ;              5;              4;Short          ;Divorced     ;High School;      3.333333333;           88;        ;          4;                  0;                      2;Highly Likely to Churn    
       119;Seattle      ;    12; 65500;Product Management      ;              2;            3.5;Short          ;Single       ;Bachelor   ;                4;           12;True    ;          3;                  2;                      3;Moderately Likely to Churn
       120;Miami        ;    11; 65500;Human Resources         ;              5;            4.5;Long           ;Married      ;Bachelor   ;                4;            6;True    ;          3;                  3;                       ;Highly Likely to Churn    
       121;Philadelphia ;    13; 86000;Procurement             ;               ;              4;Short          ;Single       ;High School;      3.666666667;           80;True    ;          3;                  4;                      2;Highly Likely to Churn    
       122;Boston       ;     4; 62000;Customer Service        ;              3;              3;Medium         ;Married      ;Bachelor   ;                 ;           30;True    ;          3;                  0;                      2;Highly Likely to Churn    
       123;Los Angeles  ;     8; 66000;Marketing               ;              4;            3.5;Short          ;Married      ;Bachelor   ;      3.666666667;           18;True    ;          4;                  2;                      2;Highly Likely to Churn    
       124;Scranton     ;     7; 52500;Human Resources         ;              3;            4.5;Short          ;Divorced     ;High School;                4;           64;True    ;          3;                  0;                      3;Moderately Likely to Churn
       125;Los Angeles  ;     7; 70500;Human Resources         ;              5;              4;Long           ;Married      ;High School;                4;           48;True    ;          4;                  0;                      3;Moderately Likely to Churn
       126;Boston       ;     7; 66000;Product Management      ;              3;              4;Long           ;Married      ;Bachelor   ;      3.333333333;           18;True    ;          3;                  1;                      2;Highly Likely to Churn    
       127;Los Angeles  ;    12; 84500;Sales                   ;              3;            3.5;Medium         ;Married      ;Bachelor   ;                4;           18;True    ;          4;                  4;                      4;Moderately Likely to Churn
       128;Los Angeles  ;    15; 77000;Accounting              ;              5;              4;Long           ;Single       ;High School;      3.666666667;           64;True    ;          3;                  5;                      3;Moderately Likely to Churn
       129;Chicago      ;     7; 79000;Marketing               ;              4;            3.5;Short          ;Single       ;Master     ;      4.333333333;           24;True    ;          4;                  1;                      4;Slightly Likely to Churn  
       130;Seattle      ;     8; 67000;Public Relations        ;              4;            3.5;Medium         ;Married      ;High School;      3.333333333;           72;        ;          3;                  1;                      2;Highly Likely to Churn    
       131;Philadelphia ;     4; 68500;Marketing               ;              4;            3.5;Medium         ;Single       ;Bachelor   ;      3.666666667;           36;True    ;          3;                  0;                      3;Moderately Likely to Churn
       132;Scranton     ;     9; 56500;Customer Service        ;              3;            3.5;Medium         ;Single       ;Bachelor   ;      3.666666667;           12;True    ;          3;                  2;                       ;Highly Likely to Churn    
       133;San Francisco;     9; 79000;Sales                   ;              2;            3.5;Medium         ;Single       ;Bachelor   ;      3.333333333;           36;True    ;          4;                  2;                      2;Highly Likely to Churn    
       134;Denver       ;     3; 54000;Customer Service        ;              4;              3;Medium         ;Single       ;High School;      3.333333333;           48;True    ;          4;                  0;                      2;Highly Likely to Churn    
       135;Los Angeles  ;     3; 67500;Facilities Management   ;              1;            2.5;Short          ;Married      ;Master     ;      2.666666667;           12;        ;          4;                  0;                      3;Moderately Likely to Churn
       136;Dallas       ;     8; 72500;Legal                   ;              4;            3.5;Long           ;Married      ;Bachelor   ;      3.333333333;           30;True    ;          3;                  2;                      2;Highly Likely to Churn    
       137;Los Angeles  ;     2; 57000;Human Resources         ;               ;              4;Short          ;Married      ;Bachelor   ;                4;           18;True    ;          2;                  0;                      2;Highly Likely to Churn    
       138;New York     ;     5; 70000;Research and Development;              3;               ;Short          ;Married      ;Bachelor   ;      3.333333333;           18;True    ;          4;                  0;                      3;Moderately Likely to Churn
       139;San Francisco;     9; 66000;Operations              ;              4;              3;Short          ;Married      ;Bachelor   ;                3;           24;True    ;          4;                  0;                      3;Moderately Likely to Churn
       140;Philadelphia ;     5; 60000;Customer Service        ;              4;              4;Short          ;Divorced     ;Bachelor   ;      3.666666667;           18;True    ;          5;                  0;                      4;Slightly Likely to Churn  
       141;Chicago      ;     1; 67000;Marketing               ;              4;              4;Long           ;Divorced     ;Bachelor   ;                3;           18;True    ;          2;                  0;                      2;Highly Likely to Churn    
       142;San Francisco;     3; 84500;Sales                   ;              4;            3.5;Short          ;Married      ;Bachelor   ;                3;           12;True    ;          3;                  0;                      3;Moderately Likely to Churn
       143;New York     ;     8; 60500;Facilities Management   ;              3;            3.5;Medium         ;Single       ;High School;      3.666666667;           40;True    ;          4;                  1;                      4;Moderately Likely to Churn
       144;San Francisco;    10; 82000;Sales                   ;              2;            3.5;Medium         ;Married      ;High School;      3.333333333;           80;True    ;          3;                  3;                      2;Highly Likely to Churn    
       145;Boston       ;     6; 65500;Sales                   ;              3;              4;Medium         ;Divorced     ;Bachelor   ;      3.333333333;             ;True    ;           ;                  0;                      3;Moderately Likely to Churn
       146;Los Angeles  ;     5; 49500;Quality Assurance       ;              3;              4;Short          ;Married      ;High School;                4;           56;True    ;          4;                  0;                      3;Moderately Likely to Churn
       147;New York     ;    24; 79500;Research and Development;              2;            3.5;Medium         ;Married      ;High School;      3.666666667;           80;True    ;          3;                 11;                      2;Highly Likely to Churn    
       148;San Francisco;    13; 77500;Accounting              ;              5;              4;Long           ;Divorced     ;Bachelor   ;                4;           12;True    ;          5;                  3;                      4;Slightly Likely to Churn  
       149;Scranton     ;     3; 62500;Accounting              ;              2;    3.518910818;Long           ;Divorced     ;Master     ;      3.386081555;             ;True    ;4.387893748;                  0;            1.950308065;Highly Likely to Churn    
       150;San Francisco;    10; 63000;Product Management      ;              3;            4.5;Short          ;Married      ;High School;      3.666666667;           48;True    ;          3;                  3;                      3;Moderately Likely to Churn
       151;Philadelphia ;     6; 70000;Research and Development;              3;     4.06646539;Short          ;Married      ;Bachelor   ;      4.037931622;  23.69463024;True    ;3.718718251;                  0;            4.196881421;Moderately Likely to Churn
       152;Scranton     ;     8; 58500;Research and Development;              3;              4;Medium         ;Married      ;High School;                4;             ;True    ;          4;                  1;                      3;Moderately Likely to Churn
       153;Chicago      ;     8; 55000;Marketing               ;              2;            4.5;Long           ;Divorced     ;High School;      3.333333333;             ;True    ;          3;                  0;                      3;Moderately Likely to Churn
       154;New York     ;     4; 71500;Product Management      ;              2;            3.5;Medium         ;Married      ;Bachelor   ;      3.666666667;            6;True    ;          4;                  0;                      3;Moderately Likely to Churn
       155;Boston       ;     6; 56000;Research and Development;              3;              4;Short          ;Married      ;Bachelor   ;      3.666666667;           30;True    ;          3;                  0;                      1;Highly Likely to Churn    
       156;Atlanta      ;     6; 77000;Sales                   ;              3;            3.5;Medium         ;Single       ;Bachelor   ;      2.666666667;             ;True    ;          3;                  0;                      2;Highly Likely to Churn    
       157;Boston       ;     7; 59500;Marketing               ;              4;              4;Short          ;Married      ;Bachelor   ;      3.666666667;           12;True    ;          3;                  1;                       ;Highly Likely to Churn    
       158;Philadelphia ;     2; 63000;Human Resources         ;              4;            3.5;Medium         ;Divorced     ;Bachelor   ;      3.333333333;           12;True    ;          4;                  0;                      3;Moderately Likely to Churn
       159;Chicago      ;    20; 86500;Product Management      ;              3;            3.5;Medium         ;Divorced     ;Bachelor   ;                4;           12;True    ;          4;                  9;                      2;Highly Likely to Churn    
       160;Denver       ;     3; 61000;Marketing               ;              3;            3.5;Medium         ;Married      ;Bachelor   ;      4.333333333;           18;True    ;          4;                  0;                      4;Highly Likely to Churn    
       161;Atlanta      ;    10; 63500;Marketing               ;              3;              3;Short          ;Married      ;High School;      3.666666667;           48;True    ;          4;                  3;                      3;Highly Likely to Churn    
       162;Scranton     ;     8; 52500;Quality Assurance       ;              4;            4.5;Long           ;Married      ;Bachelor   ;                4;           24;True    ;          4;                  0;                      3;Moderately Likely to Churn
